Parikinson's Disease GWAS					
Reported Trait	Trait(s)	Variant and risk allele	Study accession	Mapped gene	P-Value
"Parkinson's disease	"	"Parkinson's disease	"	rs1474055-T	GCST002544	"RN7SL813P, STK39"	1 x 10^-20
"Parkinson's disease	"	"Parkinson's disease	"	rs12637471-G	GCST002544	MCCC1	2 x 10^-21
"Parkinson's disease	"	"Parkinson's disease	"	rs34311866-C	GCST002544	TMEM175	1 x 10^-43
"Parkinson's disease	"	"Parkinson's disease	"	rs11724635-A	GCST002544	"	BST1"	9 x 10^-18
"Parkinson's disease	"	"Parkinson's disease	"	rs6812193-C	GCST002544	"FAM47E-STBD1, AC034139.1, FAM47E"	3 x 10^-11
"Parkinson's disease	"	"Parkinson's disease	"	rs356182-G	GCST002544	"AC093866.1, SNCA"	"	4 x 10^-73"
"Parkinson's disease	"	"Parkinson's disease	"	rs9275326-C	GCST002544	"	MTCO3P1, HLA-DQB1"	1 x 10^-12
"Parkinson's disease	"	"Parkinson's disease	"	rs199347-A	GCST002544	GPNMB	1 x 10^-12
"Parkinson's disease	"	"Parkinson's disease	"	rs117896735-A	GCST002544	INPP5F	4 x 10^-13
"Parkinson's disease	"	"Parkinson's disease	"	rs3793947-G	GCST002544	DLG2	4 x 10^-7
"Parkinson's disease	"	"Parkinson's disease	"	rs329648-T	GCST002544	"AP001979.1, IGSF9B"	1 x 10^-11
"Parkinson's disease	"	"Parkinson's disease	"	rs76904798-T	GCST002544	"LRRK2, LRRK2-DT"	5 x 10^-14
"Parkinson's disease	"	"Parkinson's disease	"	rs11060180-A	GCST002544	CCDC62	6 x 10^-12
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6825004-C	GCST009325	"SCARB2, AC110795.1"	1 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs35749011-A	GCST009325	"	HMGN2P18, KRTCAP2"	2 x 10^-70
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs76763715-T	GCST009325	GBA	2 x 10^-22
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6658353-C	GCST009325	"FCGR2A, AL592295.3"	6 x 10^-12
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11578699-T	GCST009325	"VAMP4, Z98751.1"	4 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs5019538-A	GCST009325	"AC093866.1, SNCA"	1 x 10^-36
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs13117519-T	GCST009325	"	CAMK2D, RNU1-138P"	1 x 10^-12
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs10797576-T	GCST009325	"	SIPA1L2"	7 x 10^-17
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs76116224-A	GCST009325	KCNS3	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2042477-A	GCST009325	KCNIP3	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11950533-A	GCST009325	AC006077.1	7 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs4140646-A	GCST009325	"AL009179.2, RSL24D1P1"	"	6 x 10^-12"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs9261484-T	GCST009325	TRIM40	2 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs112485576-A	GCST009325	"HLA-DQA1, HLA-DRB1"	7 x 10^-28
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs12528068-T	GCST009325	"RNU4-66P, RIMS1"	2 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs55961674-T	GCST009325	KPNA1	1 x 10^-11
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	s11707416-A	GCST009325	MED12L	1 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs1450522-A	GCST009325	SPTSSB	5 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs1293298-A	GCST009325	CTSB	4 x 10^-16
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs620513-T	GCST009325	AC011586.2	3 x 10^-15
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2280104-T	GCST009325	BIN3	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs34311866-T	GCST009325	TMEM175	1 x 10^-69
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs4698412-A	GCST009325	BST1	2 x 10^-28
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs34025766-A	GCST009325	LCORL	3 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs114138760-C	GCST009325	PMVK	4 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs4101061-A	GCST009325	"	FAM47E, SCARB2"	5 x 10^-19
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6854006-T	GCST009325	"	AC034139.1, FAM47E, FAM47E-STBD1"	6 x 10^-21
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs356182-A	GCST009325	"	AC093866.1, SNCA"	4 x 10^-154
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs823118-T	GCST009325	"RAB29, NUCKS1"	"	1 x 10^-29"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11557080-A	GCST009325	"	RAB29"	3 x 10^-22
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs4653767-T	GCST009325	ITPKB	1 x 10^-15
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs62333164-A	GCST009325	CLCN3	2 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs1867598-A	GCST009325	ELOVL7	3 x 10^-23
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs26431-C	GCST009325	PAM	2 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11683001-A	GCST009325	MAP4K4	8 x 10^-13
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs57891859-A	GCST009325	TMEM163	5 x 10^-14
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs1474055-T	GCST009325	"RN7SL813P, STK39"	3 x 10^-39
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs73038319-A	GCST009325	TBC1D5	6 x 10^-13
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6808178-T	GCST009325	"	AC098650.1, RBMS3"	8 x 10^-12
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs12497850-T	GCST009325	IP6K2	1 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs997368-A	GCST009325	"	CCN6, LINC02527"	2 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs75859381-T	GCST009325	"	AL137783.1, HMGB1P13"	1 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs199351-A	GCST009325	GPNMB	5 x 10^-26
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs76949143-A	GCST009325	"	AC008267.3, AC006001.3"	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs10513789-T	GCST009325	MCCC1	1 x 10^-34
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs873786-T	GCST009325	"	GAK"	"	2 x 10-^21"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2086641-T	GCST009325	CYRIB	2 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs13294100-T	GCST009325	SH3GL2	9 x 10^-18
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs10756907-A	GCST009325	SH3GL2	5 x 10^-17
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6476434-T	GCST009325	UBAP2	7 x 10^-9
Parkinson's disease in GBA mutation carriers	"	Parkinson's disease, GBA carrier status"	rs356219-?	GCST009373	"	SNCA, AC093866.1"	"	2 x 10^-11"
Parkinson's disease in GBA mutation carriers	"	Parkinson's disease, GBA carrier status"	rs1293298-?	GCST009373	CTSB	6 x 10^-6
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs12600861-A	GCST009325	CHRNB1	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs12951632-T	GCST009325	RETREG3	1 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2269906-A	GCST009325	UBTF	6 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs850738-A	GCST009325	FAM171A2	1 x 10^-11
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs62053943-T	GCST009325	"	LINC02210-CRHR1"	4 x 10^-68
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs117615688-A	GCST009325	"	LINC02210-CRHR1"	"	7 x 10^-16"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11658976-A	GCST009325	WNT3	4 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs61169879-T	GCST009325	BRIP1	9 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs666463-A	GCST009325	DNAH17	3 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs1941685-T	GCST009325	ASXL3	2 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs12456492-A	GCST009325	RIT2	4 x 10^-23
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs8087969-T	GCST009325	"SMAD4, SRSF10P1"	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs55818311-T	GCST009325	"	SPPL2B, AC005258.1"	4 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs77351827-T	GCST009325	"	CRLS1, AL035461.4"	9 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2248244-A	GCST009325	"	DYRK1A"	"	3 x 10^-11"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs35643925-A	GCST009325	"	SEMA4A, AL135927.1"	"	8 x 10^-22"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs4954162-A	GCST009325	"	TMEM163"	2 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs356228-C	GCST009325	"	AC093866.1, AC097478.4"	"	1 x 10^-48"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs356203-T	GCST009325	SNCA	5 x 10^-149
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6875262-T	GCST009325	"	ZNF608, AC113398.1"	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs9267659-A	GCST009325	"	EHMT2-AS1, SLC44A4"	4 x 10^-11
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs181609621-A	GCST009325	"	DNM1L, FGD4"	"	8 x 10^-11"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs117073808-T	GCST009325	MUC19	2 x 10^-20
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs141128804-T	GCST009325	MUC19	6 x 10^-14
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs138017112-C	GCST009325	"	AC090630.1"	7 x 10^-12
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs144755950-T	GCST009325	GXYLT1	2 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs17686238-T	GCST009325	"RNA5SP443, AC003070.2"	"	8 x 10^-27"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs9912362-T	GCST009325	"	LINC02210-CRHR1"	"	2 x 10^-13"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs7221167-T	GCST009325	"	MAPT-AS1"	1 x 10^-37
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs7225002-A	GCST009325	KANSL1	2 x 10^-40
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs199453-T	GCST009325	NSF	9 x 10^-67
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2295545-T	GCST009325	"DDRGK1, LZTS3"	8 x 10^-11
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs896435-T	GCST009325	ITGA8	"	3 x 10^-13"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs10748818-A	GCST009325	GBF1	1 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs72840788-A	GCST009325	BAG3	"	2 x 10^-11"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs117896735-A	GCST009325	INPP5F	2 x 10^-28
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs7938782-A	GCST009325	RNF141	2 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs12283611-A	GCST009325	DLG2	3 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs3802920-T	GCST009325	IGSF9B	"	6 x 10^-20"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs76904798-T	GCST009325	"LRRK2, LRRK2-DT"	"	2 x 10^-28"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs34637584-A	GCST009325	LRRK2	4 x 10^-148
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs7134559-T	GCST009325	"SLC38A1, AC084878.1"	4 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs10847864-T	GCST009325	HIP1R	1 x 10^-37
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11610045-A	GCST009325	"	FBRSL1, AC079031.2"	2 x 10^-10
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs9568188-T	GCST009325	CAB39L	1 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs4771268-T	GCST009325	"	MBNL2, LINC00456"	1 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs12147950-T	GCST009325	MIPOL1	4 x 10^-8
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11158026-T	GCST009325	GCH1	"	2 x 10^-16"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs3742785-A	GCST009325	RPS6KL1	"	2 x 10^-9"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs979812-T	GCST009325	"GPR65, RNU6-835P"	6 x 10^-11
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2251086-T	GCST009325	AC018618.1	6 x 10^-18
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6497339-A	GCST009325	SYT17	3 x 10^-11
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs2904880-C	GCST009325	"CD19, RABEP2"	"	8 x 10^-10"
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs11150601-A	GCST009325	SETD1A	5 x 10^-20
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs6500328-A	GCST009325	NOD2	2 x 10^-9
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs3104783-A	GCST009325	"	CASC16"	1 x 10^-12
"Parkinson's disease or first degree relation to individual with Parkinson's disease	"	"Parkinson's disease	"	rs10221156-A	GCST009325	"	PHBP21"	1 x 10^-10
Parkinson's disease	Parkinson's disease	rs6826785-?	GCST010049	SNCA	"	2 x 10^-37"
Parkinson's disease	Parkinson's disease	rs6679073-?	GCST010049	"	SLC41A1, AC119673.2"	"	4 x 10^-21"
Parkinson's disease	Parkinson's disease	rs2292056-?	GCST010049	"MCCC1, MCCC1-AS1"	8 x 10^-17
Parkinson's disease	Parkinson's disease	rs16846351-?	GCST010049	"	ITPKB-IT1, ITPKB"	"	8 x 10^-10"
Parkinson's disease	Parkinson's disease	rs12278023-?	GCST010049	DLG2	2 x 10^-8
Parkinson's disease	Parkinson's disease	rs1887316-?	GCST010049	FYN	3 x 10^-8
Parkinson's disease	Parkinson's disease	rs4130047-?	GCST010049	"	RIT2"	5 x 10^-8
Parkinson's disease	Parkinson's disease	rs6449168-?	GCST010049	BST1	4 x 10^-7
Parkinson's disease	Parkinson's disease	rs34311866-?	GCST010049	TMEM175	7 x 10^-6
Parkinson's disease	Parkinson's disease	rs246814-C	GCST010049	"	SV2C, AC113404.1"	6 x 10^-10
Parkinson's disease (age of onset)	"	Parkinson's disease, age at onset"	rs356203-?	GCST007780	SNCA	"	2 x 10^-12"
Parkinson's disease (age of onset)	"	Parkinson's disease, age at onset"	rs983361-?	GCST007780	"	SNCA-AS1"	7 x 10^-6
Parkinson's disease (age of onset)	"	Parkinson's disease, age at onset"	rs34311866-C	GCST007780	TMEM175	1 x 10^-8
Parkinson's disease (age of onset)	"	Parkinson's disease, age at onset"	rs429358-?	GCST007780	APOE	6 x 10^-8
Parkinson's disease (age of onset)	"	Parkinson's disease, age at onset"	rs356203-T	GCST009513	"	SNCA"	2 x 10^-7
Parkinson's disease (age of onset)	"	Parkinson's disease, age at onset"	rs9356013-?	GCST009513	PRKN	"	4 x 10^-13"
Parkinson's disease	Parkinson's disease	rs356182-G	GCST009512	"	AC093866.1, SNCA"	2 x 10^-9
Parkinson's disease	Parkinson's disease	rs190807041-G	GCST009512	"MUC19, LRRK2"	"	7 x 10^-11"
Parkinson's disease	Parkinson's disease	rs113434679-A	GCST009512	KANSL1	9 x 10^-13
Parkinson's disease	Parkinson's disease	rs9275152-C	GCST009512	"	MTCO3P1, HLA-DQB1"	"	2 x 10^-8"
Parkinson's disease	Parkinson's disease	rs62053943-T	GCST009512	LINC02210-CRHR1	8 x 10^-9
Parkinson's disease	Parkinson's disease	rs34311866-C	GCST009512	TMEM175	3 x 10^-7
Parkinson's disease	Parkinson's disease	rs11150601-G	GCST009512	SETD1A	"	6 x 10^-6"
"	Parkinsonism in frontotemporal lobe dementia"	"Parkinson's disease, Frontotemporal dementia"	rs3773384-C	GCST006153	"CHL1, CHL1-AS1"	4 x 10^-6
"	Parkinsonism in frontotemporal lobe dementia"	"Parkinson's disease, Frontotemporal dementia"	rs34656641-C	GCST006153	"	SP1"	8 x 10^-6
"	Parkinsonism in frontotemporal lobe dementia"	"Parkinson's disease, Frontotemporal dementia"	rs17833740-T	GCST006153	LINC01500	9 x 10^-6
